symbol,entrez,logfc,adjpv
Plekhd1,500685,2.9176285,0.000643
Gpr161,289180,1.0702983,0.000634
Baiap2l2,685357,1.0808965,0.000622
Tcte1,316242,1.695906,0.00061
Wdr88,292809,1.2749364,0.000607
Olr398,405119,1.6413488,0.000606
Tmem88b,680723,1.1069329,0.000606
LOC687261,687261,1.7199488,0.000606
Fam163a,498257,1.2838693,0.000601
Slc6a5,171148,1.390167,0.000554
Plk4,310344,1.3022497,0.000538
Pcdhga12,498850,1.2933033,0.000537
Vom2r36,502301,1.0016787,0.000537
LOC680396,680396,1.1309791,0.000531
Htr6,64354,1.1994772,0.000514
Cyp11b3,353498,1.1672922,0.000514
RGD1559654,501898,1.2539852,0.000514
Bmp15,59302,1.4722769,0.000506
LOC686031,686031,1.5272928,0.000501
Trpm8,171384,1.1583788,5.00E-04
Tectb,292124,1.3910227,0.000498
Adamts15,300474,1.4458041,0.000492
Gatsl2,304410,1.1768585,0.000492
Olr77,405907,1.3261547,0.000473
Bard1,64557,1.2266697,0.000465
Olr1513,287513,1.3239014,0.000452
Olr1307,315573,1.3641773,0.000452
Helq,360912,1.4162177,0.000452
Fbxl7,361907,1.0885217,0.000452
Olr1539,404984,1.2236687,0.000452
LOC685685,685685,1.2647737,0.000452
Tspan11,312727,1.1241946,0.000432
Umod,25128,1.2594256,0.000396
Cacng2,84347,1.1400808,0.000396
Celf5,314647,1.2923633,0.000396
Awat1,679520,1.605065,0.00038
Lama1,316758,1.4405682,0.000342
Blnk,499356,1.3719506,0.000342
Prrt4,500059,1.1941704,0.000342
T2,681288,1.409651,0.000342
Avpr1b,29462,1.4229031,0.00033
Efcab6,315179,1.0034319,0.000316
Ifnb1,24481,1.0289469,0.000312
Olr470,295741,1.1449409,0.000312
RT1-M5,499400,1.8252467,0.000301
Il2ra,25704,1.10563,0.00028
Htra4,306564,1.0816964,0.000266
Kbtbd5,316088,1.3821392,0.000266
LOC688818,688818,1.0106382,0.000266
Taar7b,294126,1.5446222,0.000264
Spink5,361319,1.669202,0.000242
Kcng1,296395,1.0887835,0.000228
Fshb,25447,1.1037585,0.000225
Ttc26,500086,1.1349628,0.000225
Gpr152,688884,1.0596334,0.000225
Olr1631,405126,1.3334029,0.00022
Cyp2b12,29295,1.3161075,2.00E-04
Myt1,362291,1.4285151,2.00E-04
Rph3a,171039,1.7329097,0.000198
LOC361016,361016,1.0248008,0.000187
Wdr96,365476,1.014185,0.000187
Olr741,366120,1.2972083,0.000148
Hivep1,117140,1.1876991,0.000142
V1rd15,292580,2.3738487,0.000125
Plp1,24943,1.5354714,0.000108
Cadm4,365216,1.069988,0.000108
Olr791,366152,1.0940404,0.000108
Mep1a,25684,1.4793245,9.82E-05
Uck1,311864,1.2383668,9.82E-05
LOC680045,680045,1.787221,9.82E-05
RGD1306880,313553,1.694911,9.52E-05
Galnt3,366061,1.7497401,8.17E-05
LOC499643,499643,1.104663,8.17E-05
Kcnc2,246153,1.1238611,7.21E-05
Tnfsf15,252878,1.553355,7.21E-05
Tpd52l3,293894,1.3534062,7.21E-05
Csf3r,298518,1.2725466,7.21E-05
Tmem104,303670,1.439774,7.21E-05
Olr1162,405167,1.404329,7.21E-05
Olr1515,405994,1.8477265,7.21E-05
Thoc4,690585,1.3460777,7.21E-05
Gpr45,301372,1.4114494,6.96E-05
Gpr112l,302860,1.4686518,5.78E-05
